name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
"Коммерческий аналитик / Lead аналитик маркетплейсов (WB, Москва)","{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131890002,2026-04-06T23:18:39+0300,250000.0,300000.0,RUR,Москва,Mokana (ИП Исаенко Игнат Игоревич),Нет опыта,"Умеет спорить с бизнесом аргументированно и предлагать решения, а не просто показывать цифры. Уверенный SQL. Уверенный <highlighttext>Python</highlighttext> для аналитики данных. ",Быстро погрузиться в коммерческую модель бизнеса на WB. Собрать карту источников данных и привести рваный контур в рабочую систему. 
Продуктовый аналитик (Стажер),"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/130499268,2026-03-17T17:59:21+0300,,,,Москва,Купер,Нет опыта,"Навыки работы с библиотеками <highlighttext>Python</highlighttext> (Pandas, Statsmodels). Базовые навыки <highlighttext>Python</highlighttext> (циклы, функции, агрегации, визуализации). Будет плюсом: Наличие проектов на Github. ",Купер — сервис доставки из магазинов и ресторанов для любого повода. Входит в ТОП-3 лидеров в сегменте E-Grocery. 
Стажер системный аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131875972,2026-04-06T14:33:20+0300,,,,Москва,Банк ПСБ,Нет опыта,"Имеешь практический опыт написания кода на одном из языков программирования Java, C, C++, <highlighttext>Python</highlighttext>. Знаешь основ системного анализа. ",Развитие кредитного розничного процесса. Постановка требований на доработки в смежных системах. Участие в тестировании изменений процесса кредитования. Документирование изменений в...
Специалист по информационной безопасности (Программист),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131928970,2026-04-07T18:31:53+0300,90000.0,,RUR,Москва,Ансер про,Нет опыта,"Знакомство как минимум с двумя языками программирования (C/C++, Java, C#, Delphi, JavaScript, <highlighttext>python</highlighttext>, PHP и др.), знание алгоритмических основ...","Анализ безопасности ПО, оценка наличия потенциальных уязвимостей по существующим методикам. Анализ исходных текстов ПО с целью определения корректности реализации функционала..."
Стажер-аналитик данных,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131962337,2026-04-08T16:54:17+0300,,,,Москва,МТС,Нет опыта,"Ты – в том числе студент или выпускник профильного направления. Знаешь основы <highlighttext>Python</highlighttext>. Понимаешь, как работает SQL. Владеешь MS Excel на...","Прорабатывать гипотезы в рамках текущих проектов. Настраивать аналитические дашборды в таких инструментах, как Tableau. Станешь посредником между заказчиком и командой..."
Стажер в отдел безопасной разработки,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131397490,2026-04-07T17:29:46+0300,25000.0,25000.0,RUR,Москва,Русьтелетех,Нет опыта,Знаком с Linux и его командной строкой. Имеешь опыт программирования на <highlighttext>Python</highlighttext> и Bash. Не боишься работать с документами. ,"Участвовать в сертификации программных и программно-аппаратных комплексов по требованиям безопасности информации. Участвовать в доработке и поддержке системы сборки, её..."
Аналитик со знанием английского языка,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131221927,2026-03-14T13:15:30+0300,60000.0,100000.0,RUR,Москва,ФГУП НТЦ оборонного комплекса Компас,Нет опыта,"Анализировать данные с помощью Excel/Google Sheets, SQL на базовом уровне и (при наличии навыков) <highlighttext>Python</highlighttext>/R. Образование: высшее инженерно...","Проверять достоверность информации и отсеивать недостоверные данные. Редактировать и корректировать тексты на русском и английском языках, приводить их к единому..."
System Administrator Network,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131439746,2026-03-22T23:03:26+0300,,,,Москва,CloudPayments,Нет опыта,"Понимание систем виртуализации (мы используем proxmox и немного ovirt). Linux (Debian/CentOS), Bash, <highlighttext>Python</highlighttext>. PVE, oVirt. Ansible. Terraform. ","80% сети, 20% задачи по инфраструктуре). Настройка сетевого оборудования (мы используем Huawei, Fortinet). Выезды в датацентры (по факту нечастые). "
"Стажер в Аналитический департамент, ВТБ Юниор","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131716941,2026-03-31T19:08:17+0300,81000.0,81000.0,RUR,Москва,Changellenge,Нет опыта,"Понимание принципов финансовой отчетности. Навыки финансового моделирования. Знание фондового рынка. Наличие навыков программирования будет преимуществом (SQL, <highlighttext>Python</highlighttext> и другие).","Формирование и ведение баз данных, финансовое моделирование. Участие в анализе финансового положения компаний и оценке отдельных инвестиционных проектов. "
Начинающий специалист технической поддержки,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131122460,2026-03-26T17:36:57+0300,70000.0,,RUR,Москва,TrueConf,Нет опыта,"Опыт работы с SQL базами данных (PostgreSQL). Знание <highlighttext>Python</highlighttext>, Bash. Грамотная речь, опыт работы в службе технической поддержке/иных должностях...",Обработка запросов о техподдержке от заказчиков. Исследование различных программных продуктов и интеграция с ними. Составление концептуальных и подробных схем работы...
