name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
"Стажер в сфере международного сотрудничества, финансов и банков","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131552470,2026-03-25T18:01:38+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"Имеете навыки работы с базами данных, а также начальный опыт в Power Query, макросах, <highlighttext>Python</highlighttext> (будет преимуществом). Свободно владеете английским...","Изучать и обобщать международный опыт регулирования в сфере банковской деятельности, страхования, финансовой стабильности и борьбы с рыночными нарушениями. "
Стажер Бизнес-аналитик ВТБ Юниор,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130797034,2026-03-25T13:57:48+0300,81000.0,81000.0,RUR,Москва,Банк ВТБ (ПАО),Нет опыта,Выпускник бакалавриата/специалитета и/или выпускник магистратуры. Имеешь базовые знания SQL и/или <highlighttext>Python</highlighttext> (уверенные навыки будут преимуществом). ,"Анализ клиентского пути, сбор обратной связи, организация опросов и исследование клиентского опыта. Подготовка управленческой, финансовой и аналитической отчетности для руководства. "
Стажёр менеджер-продукта,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131732771,2026-04-01T11:01:50+0300,,,,Москва,Ozon,Нет опыта,...для развития мобильного приложения Ozon Seller App. Уверенное владение пакетом MS Office (особенно Excel). Будет преимуществом знание SQL или <highlighttext>Python</highlighttext>.,Стажёр менеджер-продукта (команда разработки мобильного приложения для продавцов). Реализовывать небольшие проекты и точечные доработки в мобильном приложении. 
Стажер аналитик-разработчик в Яндекс,"{'id': 'flexible', 'name': 'Гибкий график'}",https://hh.ru/vacancy/131879499,2026-04-06T15:30:24+0300,,,,Москва,Яндекс,Нет опыта,"Знать основы программирования на <highlighttext>Python</highlighttext>, и уметь обрабатывать списочные данные и словари, иметь опыт решения прикладных задач с использованием любого...",Работа в команде над реальной задачей. Вы будете работать в фулстек‑командах с участниками других школ над созданием реальных продуктов...
Продуктовый аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132020339,2026-04-10T11:57:40+0300,,,,Москва,СБЕР,Нет опыта,"Жгучий интерес к AI, hardware и технологическим рынкам, быть на пульсе последних инноваций в ИИ. Навыки работы с LLM / <highlighttext>Python</highlighttext>...","Оценивать сегменты рынка: объемы, рост, конкуренцию, экономику. Строить бизнес-кейсы и сценарии развития (go-to-market, pricing, unit economics). "
"Стажёр-аналитик данных, Маркетплейс, Отдел продуктовой аналитики","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131660979,2026-03-30T12:18:34+0300,,,,Москва,Ozon,Нет опыта,...перед обработкой больших объемов данных. Навыки работы с SQL и <highlighttext>Python</highlighttext>. Желание и способность предлагать новые идеи для улучшения продуктов...,"Формирование дерева метрик для оценки эффективности внутренних сервисов. Проектирование ETL-процессов (скорость, качество, алерты). Разработка регулярной отчётности в BI-инструментах. "
Аналитик данных (стажер),"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131955445,2026-04-08T14:19:40+0300,80000.0,,RUR,Москва,Aston,Нет опыта,"Опыт использования инструментов бизнес-аналитики (Power BI, Tableau, Google Data Studio и др.). Владение языками программирования (<highlighttext>Python</highlighttext>, R) для анализа...",Онлайн-интенсив 1 месяц. Вы изучаете теорию и отрабатываете ее с помощью практических заданий. Обучение на онлайн-интенсиве можно совмещать...
"Стажер в команду продуктовой аналитики, Ozon Банк","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131348042,2026-03-18T14:54:31+0300,,,,Москва,Ozon,Нет опыта,"Знание продвинутых методов будет плюсом. Базовое знание <highlighttext>Python</highlighttext>, Pandas и визуализации данных. Знание продвинутых методов и библиотек будет плюсом. ",
"Senior Back-end Developer (Microservices, Python, Node.js, video streaming)","{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131835749,2026-04-10T13:09:25+0300,,,,Москва,НПП ТехноЛаб,Нет опыта,"Node.js v20+, NestJS, обязательно EventLoop, async/await, знание потоков. - PostreSQL, Kafka. - Docker / Docker Compose, желательно K8S. - ",Приглашаем старшего разработчика <highlighttext>Python</highlighttext> (Django) / Node.js (NestJS) для создания высоконагруженных сервисов проекта по мониторингу гольф-полей. Стриминг видео с камер...
Стажер системный аналитик ВТБ Юниор,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130797276,2026-03-25T13:57:55+0300,81000.0,81000.0,RUR,Москва,Банк ВТБ (ПАО),Нет опыта,"Имеешь базовые знания SQL и/или <highlighttext>Python</highlighttext> (уверенные навыки будут преимуществом). Умеешь работать с большими объемами информации, анализировать ее качество. ","Мы занимаемся проектированием и развитием банковских информационных систем, обеспечиваем бесперебойное формирование финансовых документов и интеграционное взаимодействие между множеством внутренних систем. "
Начинающий аналитик данных (кредитный регистр),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130840514,2026-03-25T12:01:24+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"Высшее образование. Специальность или направление подготовки: «Математика и компьютерные науки», «Фундаментальные информатика и информационные технологии», «Математическое обеспечение и администрирование информационных...","Проведение анализа данных. Разработка и внедрение алгоритмов обработки данных. Создание, поддержание и развитие программных продуктов по обработке данных и расчету..."
AI инженер RnD,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131307537,2026-04-10T14:53:39+0300,250000.0,250000.0,RUR,Москва,РегионСтройКомплект,Нет опыта,"Навыки математического формализма и разработки теоретических обоснований новых методов. Уверенное владение <highlighttext>Python</highlighttext>, PyTorch. Опыт разработки воспроизводимых экспериментальных пайплайнов. ","Разработка и исследования новых ML/DL методов (NLP, multimodal, RL). Проектирование и реализация экспериментов, воспроизводимых исследовательских пайплайнов. Разработка моделей и..."
SRE инженер (Начинающий специалист),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130575265,2026-04-06T11:05:52+0300,,,,Москва,РТК-ЦОД,Нет опыта,Основы систем виртуализации (VMware ESXi/KVM/Azure). Основы скриптового языка программирования bash/<highlighttext>python</highlighttext>. Методы использования систем контроля версий (git). ,Консультирование по вопросам эксплуатации информационных систем(ИС). Подготовка и регулярное предоставление отчётности о проделанной работе. Участие в обеспечении непрерывности функционирования...
Data Engineering Intern / Стажер дата-инженер,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/128491776,2026-03-21T13:00:04+0300,100000.0,,RUR,Москва,Procter & Gamble,Нет опыта,Владеешь английским языком на уровне Upper-Intermediate (B2) и выше. Имеешь навыки программирования на <highlighttext>Python</highlighttext> и SQL и практический...,"Azure Cloud (ADF, SQL DB и др.). Databricks (<highlighttext>Python</highlighttext>/PySpark/SQL). Визуализация данных с помощью Power BI. Azure DevOps (SCRUM..."
Стажер Дата Аналитик (сервис Заявки Телеком данных),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000296,2026-04-09T17:24:46+0300,,,,Москва,МТС,Нет опыта,"В том числе Студенты 3 и 4 курсов бакалавриата, специалитета или магистратуры. Начальные знания по SQL и <highlighttext>Python</highlighttext>.","Выгрузки, обработка телеком данных мобильного и фиксированного трафика. Работа с инженерами и создание сегментов пользователей. Работа с геоданными и телеком..."
"Младший специалист риск-аналитик, ВТБ РОСТ","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132046647,2026-04-11T19:35:35+0300,130000.0,130000.0,RUR,Москва,Changellenge,Нет опыта,Имеешь релевантный опыт от шести месяцев. Владеешь навыками работы с <highlighttext>Python</highlighttext> и MS SQL. Имеешь базовые знания финансовых продуктов и...,Участие в проектах внедрения аналитических и цифровых решений с использованием ИИ-технологий. Анализ структуры баланса и планируемых операций с точки...
Стажер BCS Global Markets,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130650249,2026-04-08T08:27:18+0300,,,,Москва,Компания БКС,Нет опыта,"Мы ищем в том числе студентов последних курсов математических, физико-математических, технических ВУЗов, обладающих аналитическим складом ума и умеющих работать...","Взаимодействовать с IT-подразделениями, курировать совместные проекты. - <highlighttext>Python</highlighttext>: автоматизация задач, работа с данными (pandas, numpy), API/HTTP‑запросы, библиотеки websockets..."
Стажер-аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131535332,2026-03-25T11:38:04+0300,,,,Москва,МТС,Нет опыта,"Ты – в том числе студент или выпускник профильного направления. Знаешь основы <highlighttext>Python</highlighttext>. Понимаешь, как работает SQL. Владеешь MS Excel на...",Изучать процессы блока финансов. Прорабатывать гипотезы в рамках текущих проектов. Помогать в подготовке результатов исследований и формировании гипотез. 
Стажер LLM-аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131679937,2026-03-30T19:01:45+0300,,,,Москва,АО «ОТП Банк» (JSC «OTP Bank»),Нет опыта,"Получаешь высшее образование. Имеешь логическое мышление, понимание алгоритмов и структур данных. Знаешь Excel, SQL и <highlighttext>Python</highlighttext> на среднем уровне.",Работа с автоматической оценкой качества с помощью речевой аналитики. Работа с суммаризацией итогов разговоров операторов. Работа с автоматическим определением тематик...
"Стажер QA Manual [NEO, МТС Веб Сервисы]","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130140916,2026-03-30T11:50:20+0300,,,,Москва,МТС,Нет опыта,"Умение работать с документацией. Самостоятельно искать информацию. Приветствуются знания <highlighttext>Python</highlighttext>. Не боится брать на себя ответственность. Высокая степень самоорганизации, самостоятельности...",Тестировать интерфейсы. Анализировать данные. Искать причины не состыковок данных.
DevOps-инженер,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131342790,2026-03-18T13:15:49+0300,,,,Москва,Colvir Software Solutions,Нет опыта,"ОС и системное администрирование. Уверенная работа с Linux (RHEL / Rocky / Alma / Ubuntu). Понимание systemd, networking, firewall (iptables / nftables). ",Проведение инсталляций программных продуктов. На стороне заказчика. Проведение тестовых инсталляций программных. Продуктов компании на внутренних стендах для налаживания процесса установки. 
Риск - аналитик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131672271,2026-03-30T15:40:43+0300,,,,Москва,СБЕР,Нет опыта,"...презентационные материалы и доносить результаты анализа. Хорошее владение инструментами анализа данных и работы с базами данных (написание SQL-запросов, <highlighttext>Python</highlighttext>).","Оценка внедряемых изменений, подготовка сопровождающей аналитики. Углубленная аналитика и подготовка рекомендации/заключения по результатам исследования владельцам процесса. Постанализ результатов внедрения..."
Заместитель директора департамента аналитики и рисков,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131879077,2026-04-06T17:43:58+0300,,,,Москва,СВОЙ,Нет опыта,"Сильные аналитические способности. Уверенное владение Microsoft Excel, SQL, <highlighttext>Python</highlighttext>, Tableau. Опыт работы в сфере взыскания будет преимуществом. Опыт управления командой...",Координировать крупные аналитические направления. Организовывать и контролировать проведение пилотных проектов. Планировать и мониторить A/B тесты. Стандартизировать аналитические процессы и...
Инженер ККТ,"{'id': 'flexible', 'name': 'Гибкий график'}",https://hh.ru/vacancy/131587449,2026-04-10T17:05:33+0300,80000.0,,RUR,Москва,Холкин Ролан Романович,Нет опыта,"Приветствуется опыт работы с ККТ, POS-терминалами, фискальными регистрами. Являетесь уверенным пользователем ПК. Готовность и желание обучаться новому.","1. Монтаж и установка контрольно-кассовых терминалов (ККТ) на объектах заказчика: - подключение терминалов к электросети, сети Интернет и периферийному оборудованию. - "
Стажер команды рыночных данных,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000247,2026-04-09T17:22:48+0300,85000.0,85000.0,RUR,Москва,Changellenge,Нет опыта,Знаешь <highlighttext>Python</highlighttext> и SQL на базовом уровне. Владеешь MS Excel на продвинутом уровне. Знаешь английский язык для чтения документации и...,Участие в создании и развитии системы предоставления ИТ-сервисов для бизнес- и ИТ-пользователей. Анализ и обработка рыночных данных. 
Стажер в группу финансового моделирования,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130771350,2026-04-06T15:18:30+0300,,,,Москва,Банк ПСБ,Нет опыта,"Имеешь базовые знания методов машинного обучения и умеешь применять их на практике. Уверенно владеешь <highlighttext>Python</highlighttext> (numpy, pandas, scipy, scikit-learn). ",Исследование и разработка математических моделей управления банковскими рисками. Статистический анализ данных с использованием методов машинного обучения. Разработка инструментов оптимизации системы...
Стажер аналитик данных ВТБ Юниор,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130796398,2026-03-25T13:57:16+0300,81000.0,81000.0,RUR,Москва,Банк ВТБ (ПАО),Нет опыта,Выпускник бакалавриата/специалитета 2025-2027 года и/или выпускник магистратуры 2025-2027 года. Используешь SQL для анализа больших объемов данных. ,"Мы занимаемся комплексным анализом бизнес-процессов и разработкой проектов разного профиля внутри банка, отвечаем за качество данных в бухгалтерском учете..."
Инженер технической поддержки ЦОД,"{'id': 'shift', 'name': 'Сменный график'}",https://hh.ru/vacancy/131718139,2026-04-09T22:23:24+0300,80000.0,90000.0,RUR,Москва,DataSpace,Нет опыта,"Навыки администрирование ОС Windows/Linux. Опыт практического применения скриптовых языков (<highlighttext>Python</highlighttext>, PowerShell, Bash). Опыт работы на аналогичной позиции от 1...","Обработка поступающих запросов, регистрация\эскалация заявок в системе ServiceDesk, контроль процесса выполнения заявок с соблюдением внутренних процедур. Информационная поддержка клиентов..."
Стажёр/Data Scientist (моделирование банковских продуктов),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131543623,2026-03-25T14:26:24+0300,,,,Москва,Ozon,Нет опыта,Понимание базовых алгоритмов машинного обучения. Уверенное владение <highlighttext>Python</highlighttext> (pandas / numpy / sklearn). Умение работать с данными и писать SQL-запросы. ,Проводить исследование данных (EDA) и анализировать поведение клиентов. Участвовать в разработке ML-моделей для банковских продуктов. Генерировать и тестировать новые...
Инженер службы технической поддержки,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131881577,2026-04-12T16:08:49+0300,60000.0,80000.0,RUR,Москва,ИнтерТраст,Нет опыта,"Образование: Высшее техническое или среднее техническое (возможно старший курс профильного ВУЗа). Понимание принципов построения, умение установки и настройки Linux и...",Выполнять работы по технической поддержке корпоративной системы электронного документооборота непосредственно на территории заказчика. Поддерживать систему на основе стека ПО: Средств...
Менеджер по продажам в онлайн-школу,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131495930,2026-04-11T10:28:09+0300,45000.0,90000.0,RUR,Москва,Школа математики и программирования Матрица,Нет опыта,"Вы уверенно общаетесь: умеете и слушать, и убеждать. Умеете работать с цифрами и любите видеть результат. Уверенно пользуетесь ПК, Google...","Обрабатывать входящие заявки и возвращать к жизни старые (переписка, звонки). Презентовать наш продукт и помогать клиенту понять, зачем это нужно..."
Финансовый аналитик по кредитным продуктам,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131381627,2026-03-19T13:00:00+0300,,,,Москва,СБЕР,Нет опыта,"Уверенный SQL (join’ы, оконные функции, агрегации, подзапросы, оптимизация запросов, работа с временными рядами). <highlighttext>Python</highlighttext> (pandas, numpy) — желательно. ",Формирование и согласование бизнес-плана по кредитным продуктам. Работа с контрагентами по согласованию вводных для бизнес-планирования (основные контрагенты: продуктовые...
Маркетолог,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131783588,2026-04-11T13:36:35+0300,,80000.0,RUR,Москва,Союз Девелоперов Москвы,Нет опыта,Понимание принципов копирайтинга и создания продающих объявлений. Навыки парсинга (любые инструменты или базовый <highlighttext>Python</highlighttext>). Знание иллюстраторов и наличие портфолио.,"Анализировать рекламные объявления: качество, релевантность, эффективность. Собирать данные и анализировать по воронке (просмотр - обращение/звонок). Предлагать и тестировать гипотезы по..."
Инженер по защите и лицензированию промышленного ПО,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131427961,2026-03-20T16:39:45+0300,,,,Москва,HARTUNG,Нет опыта,"Опыт разработки на <highlighttext>Python</highlighttext> 3.8+. Понимание асимметричной криптографии (RSA, ECDSA, цифровые подписи). Знание принципов защиты ПО и противодействия...",Проектирование и разработка системы лицензирования для многокомпонентного ПО. Реализация механизмов привязки лицензий к оборудованию (hardware fingerprinting). Разработка криптографических решений для...
Инженер технической поддержки ServiceDesk (Стажёр),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131918191,2026-04-07T14:20:21+0300,,,,Москва,Яндекс,Нет опыта,Аналитически мыслите и умеете структурировать информацию. Увлекаетесь языками программирования (<highlighttext>Python</highlighttext> или другими). Имели дело со скриптами Bash. Спокойно относитесь к...,Служба Service Desk поддерживает сотрудников Яндекса и офисную инфраструктуру. Поддержка пользователей. Вам предстоит активно общаться с сотрудниками и коллегами. 
Администратор торговой системы,"{'id': 'shift', 'name': 'Сменный график'}",https://hh.ru/vacancy/128793871,2026-03-16T17:27:30+0300,,,,Москва,СПБ Биржа,Нет опыта,"Базовые знания СУБД (MS SQL, PosgreSQL), опыт написания простых запросов. Желателен опыт работы с <highlighttext>Python</highlighttext>. Желателен опыт администрирования ПО Quik.",Сопровождение и администрирование биржевой торгово-клиринговой системы. Выполнение регламентных процедур по обеспечению штатного функционирования торгово-клиринговой системы. Мониторинг хода торгов. 
Стажер отдела финансового анализа,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131623696,2026-03-27T17:16:13+0300,,,,Москва,ТРАНСКАПИТАЛБАНК,Нет опыта,"Практический навык расчёта и анализа основных банковских показателей и соотношений. Технические навыки: excel, sql – обязательно, <highlighttext>python</highlighttext> – будет преимуществом.",Формирование управленческой отчётности по бизнес-сегментам. Оперативный контроль отчётных форм. Реализация доработок управленческой отчётности. Формирование ТЗ по автоматизации отчётности. 
Системный администратор,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131471856,2026-03-23T14:29:23+0300,375000.0,,RUR,Москва,"Алабуга, ОЭЗ ППТ",Нет опыта,Опыт руководства коллективом. Самостоятельное принятие решений. Структурное мышление. Понимание процессного управления коллективом. Умение работать с проектной документацией. Грамотная устная и...,Организация и курирование вопросов по сопровождению и эксплуатации сетевого и серверного оборудования систем ИБ. Сопровождение самих систем ИБ. 
Аналитик (Data Engineer),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131580860,2026-03-26T14:45:18+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"Опыт работы по направлению в страховой, финансовой или ИТ области от 0,5 лет. Знание SQL, <highlighttext>Python</highlighttext>, знание структур данных...","Разработка и поддержка пайплайнов загрузки и обработки данных страховщиков. Подготовка adhoc отчетности, написание авто-тестов. Подготовка интерактивной отчетности по итогам..."
Junior Data Analyst,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131355797,2026-03-18T17:32:29+0300,,,,Москва,"РЕСО-Гарантия, САО",Нет опыта,"Баумана, МФТИ, ВШЭ. - знание SQL и PL/SQL. - знание R или <highlighttext>Python</highlighttext>, пакетов статистического анализа. - знание теории вероятности и математической...",построением математических моделей страхового портфеля. - исследованием спроса и эластичности. - управленческой аналитикой. - тарификацией. - анализом рентабельности страховых продуктов. - анализом бизнес-процессов. - 
Ведущий инженер (разработка лекарственных средств),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130078372,2026-03-25T09:51:46+0300,77000.0,,RUR,Москва,ФГБНУ ФИЦ Оригинальных и Перспективных Биомедицинских и Фармацевтических Технологий,Нет опыта,"Знание английского языка на уровне, достаточном для чтения научной литературы. Приветствуется владение статистическими методами анализа данных (например, SPSS, R, <highlighttext>Python</highlighttext>...","Проведение экспериментов на животных (крысы, мыши) в соответствии с утвержденными протоколами. Моделирование неврологических заболеваний и психоневрологических состояний (эпилепсия, инсульт, рассеянный..."
Инженер РЛС,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131266352,2026-03-16T15:57:03+0300,100000.0,120000.0,RUR,Москва,Научно-производственное объединение дальней радиолокации имени академика А.Л. Минца,Нет опыта,"Уверенный пользователь OC Linux. Желательно наличие навыков программирования на <highlighttext>Python</highlighttext>, Matlab (либо Engree), а так же знание основ радиотехники. ","Проведение расчетов и оценки показателей надежности изделий и их составных частей, комплексного моделирования отказов аппаратуры и расчетов показателей надежности РЛС."
Стажер направления надзорной деятельности,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131374115,2026-03-19T11:02:53+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"...на простые темы, читать деловую литературу и участвовать в переписке. Знаете <highlighttext>Python</highlighttext>, SQL на базовом уровне, Power BI (будет преимуществом).","Участвовать в реализации мероприятий Банка России по контролю и надзору;​. Анализировать и обобщать большой объем финансовой, статистической и иной информации..."
Начинающий аналитик в отдел развития тарифных систем,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131395744,2026-03-19T17:43:44+0300,,,,Москва,Ингосстрах,Нет опыта,"Навыки: <highlighttext>Python</highlighttext> (Numpy, Pandasd и пр.) SQL/Cognos, Excel(VBA). Работа с большим массивом данных, построение тарифных и скоринговых моделей...","Анализ и подготовка отчетности по убыточности, среднему убытку и аварийности по продуктам розничного бизнеса, а также выявление и анализ факторов..."
"Стажер Дата аналитик B2C [Big Data, МТС Веб Сервисы]","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000147,2026-04-09T17:19:17+0300,,,,Москва,МТС,Нет опыта,"В том числе Студенты 3 и 4 курсов бакалавриата, специалитета или магистратуры. Уверенное написание SQL запросов и знание основ <highlighttext>Python</highlighttext>. ",Выполнение ad-hoc задач (сбор данных и обработка под требования заказчика). Участие в построении конверсионных сегментов. Сбор данных и построении...
Стажер-аналитик (большие данные),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131260374,2026-03-16T14:27:07+0300,,,,Москва,Яндекс,Нет опыта,Знание математической статистики. SQL будет плюсом. Опыт применения машинного обучения приветствуется.,"Задача аналитиков — извлекать из данных смысл и помогать командам принимать правильные решения. Этим и занимаются стажёры, которых интересует аналитика. "
"Стажер QA Automation [Resource Inventory, МТС Веб Сервисы]","{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130954124,2026-03-30T11:13:13+0300,,,,Москва,МТС,Нет опыта,"Владение одним из языков программирования (Java/<highlighttext>Python</highlighttext>). Базовые навыки работы с инструментами автоматизации тестирования (Selenium, Allure TestOp). Понимание принципов работы...","Писать и поддерживать автотесты. Участвовать в регрессионном тестировании. Проверять функциональность, интерфейсы, корректность работы системы в различных сценариях. Оформлять баг-репорты..."
Стажер (отдел Клиентского Сервиса и Логистики: Аналитика),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131798262,2026-04-02T21:30:11+0300,,100000.0,RUR,Москва,Мон’дэлис Русь,Нет опыта,Power BI или Tableau для визуализации данных - опыт работы желателен. <highlighttext>Python</highlighttext> или R для статистического анализа – опыт работы желателен. ,"Собирать и анализировать данные из разных источников, устанавливать правила работы с данными. Разрабатывать и поддерживать дашборды с интерактивной визуализацией (Power..."
Разработчик автоматизированных систем управления,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131035271,2026-04-03T18:14:26+0300,,,,Москва,Российская электроника,Нет опыта,"Наличие следующих навыков будет существенным плюсом: <highlighttext>Python</highlighttext>: знание языка <highlighttext>Python</highlighttext> для автоматизации задач, скриптинга, разработки вспомогательных инструментов. Qt Quick/QML. ",Разработка и поддержка программного обеспечения на языке C++ с использованием фреймворка Qt 5. Проектирование архитектуры программных модулей с применением шаблонов...
DevOps инженер (стажер),"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131904052,2026-04-07T10:57:11+0300,70000.0,,RUR,Москва,Aston,Нет опыта,"Кто сказал, что нужен опыт? Мы ценим твой потенциал! Уверенные знания операционных систем семейства Linux. Опыт знакомства с реляционными СУБД...",Изучение теории с еженедельными проверками изученного материала. Практика на учебных проектах под руководством опытного технического руководителя. Подготовка к собеседованию и...
Стажер группы автоматизации отчетности и биржевых инструментов,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132000105,2026-04-09T17:18:01+0300,85000.0,85000.0,RUR,Москва,Changellenge,Нет опыта,Имеешь базовые знания SQL.,"Мы создаем и сопровождаем системы, которые обеспечивают управление позициями, работу с рыночными данными, а также расчеты по простым и сложным..."
Lean4 Mathematician,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131844204,2026-04-06T02:34:41+0300,,,,Москва,Parsewave,Нет опыта,"Ability to review formal proofs across varied technical topics. Bonus: Knowledge of Git, <highlighttext>Python</highlighttext>, and Bash.  Flexibility. Choose as much...","Parsewave.ai — Hiring Lean 4 Developers for AI Benchmark Task Review ( Remote / Flexible). We work with top AI labs, engineers, and..."
Младший аналитик финансового департамента,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130510094,2026-03-19T08:32:55+0300,,,,Москва,Knauf,Нет опыта,"Уверенный пользователь пакета MS Office, отличное владение Excel. Базовые знания механики работы с ИИ. Выпускники последнего курса очного отделения в...","...отчётов и визуализаций (графики, диаграммы) для внутренних презентаций . Работа с системами обработки данных (Power BI, SQL, Pivot, <highlighttext>Python</highlighttext>) — опыт приветствуется ."
Стажер в сфере денежно-кредитной политики,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131374098,2026-03-19T11:02:41+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"Имеете опыт или уверенные навыки работы с эконометрическими и статистическими инструментами: R, <highlighttext>Python</highlighttext>, Matlab, Stata, EViews. Владeете MS Office (Word...","Проводить анализ макроэкономических показателей, инфляции, бюджетной и денежно-кредитной политики. Разрабатывать и использовать эконометрические модели (в т.ч. "
Performance-аналитик / Junior Media Buyer,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131982977,2026-04-09T11:36:40+0300,500.0,,USD,Москва,MSTech L.L.C-FZ,Нет опыта,"Tech-stack: Будет огромным плюсом, если ты понимаешь, как работают прокси, серверы, API платформ или <highlighttext>Python</highlighttext>. HR-интервью — проверяем логику...",Управление бюджетами: Постепенный выход на объемы 1000+. Работа с Big Data: Поиск скрытых закономерностей в поведении аудиторий и превращение...
Стажер направления финансовых рынков,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131374080,2026-03-19T11:02:23+0300,,,,Москва,Центральный банк Российской Федерации (Банк России),Нет опыта,"Имеете базовые знания SQL, <highlighttext>Python</highlighttext>, VBA — будет преимуществом. Знаете английский язык на уровне, позволяющем читать профессиональную литературу, участвовать в переписке...","...информации, международной практики и новостей. Участвовать в разработке автоматизированных решений, анализировать данные с использованием Excel, SQL, <highlighttext>Python</highlighttext> и других инструментов."
Стажер Аналитик данных в ИБ,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131680250,2026-03-30T19:27:50+0300,,,,Москва,АО «ОТП Банк» (JSC «OTP Bank»),Нет опыта,Получаешь высшее образование по технической/ИТ специальности. Интересуешься сферой ИБ.,"Команда Threat intelligence занимается реагированием на внешние цифровые угрозы, с упором на аналитику соц. сетей и внутренних источников: Развитие платформы..."
